Name,Compound.ID,Wilcoxon_statistic,p_value,Mean_Female,Mean_Male,logFC,FDR,Bonferroni,Significant_FDR,Significant_Bonferroni,Direction,Name_display
L-(+)-Lactic Acid,Amide-Neg-000001,54,0.2303310675923686,18.91835376035794,18.529476482365787,-0.029964432383590946,0.9599177566083866,1,FALSE,FALSE,Higher in Females,L-(+)-Lactic Acid
Itaconic Acid,Amide-Neg-000007,54,0.3123214216762162,18.798486534176394,18.86012836338125,0.0047229799062500095,0.9599177566083866,1,FALSE,FALSE,Higher in Males,Itaconic Acid
N-Acetylaspartic Acid,Amide-Neg-000009,86,0.4357306600317366,20.798387349465074,20.747894300041445,-0.003506745007097121,0.9599177566083866,1,FALSE,FALSE,Higher in Females,N-Acetylaspartic ...
Ascorbic Acid,Amide-Neg-000012,58,0.4357306600317366,19.033677171940095,19.407548124125924,0.02806355792860423,0.9599177566083866,1,FALSE,FALSE,Higher in Males,Ascorbic Acid
Β-Hydroxypropionic Acid,Amide-Neg-000013,56,0.792812616632073,19.276385075567646,19.32774993551927,0.0038391676144216365,0.994442895022004,1,FALSE,FALSE,Higher in Males,Β-Hydroxypropioni...
Dehydroascorbic Acid,Amide-Neg-000015,32,0.03922845038753887,20.062820542247724,21.059833227955405,0.06996956950543272,0.9599177566083866,1,FALSE,FALSE,Higher in Males,Dehydroascorbic Acid
Ino,Amide-Neg-000016,75,0.6008776409544789,17.96756250735227,17.822255430724645,-0.011714781621819598,0.9599177566083866,1,FALSE,FALSE,Higher in Females,Ino
"L-Threonic Acid-1,4-Lactone",Amide-Neg-000017,89,0.3407786135629546,17.89628732942943,17.512979275841648,-0.031235791252056964,0.9599177566083866,1,FALSE,FALSE,Higher in Females,L-Threonic Acid-1...
Dl-Malic Acid,Amide-Neg-000022,51,0.2365840933218762,17.823681833293552,17.910405449680162,0.0070026121523431165,0.9599177566083866,1,FALSE,FALSE,Higher in Males,Dl-Malic Acid
D-(+)-Mannose,Amide-Neg-000037,97,0.1572127533400039,23.05238269668779,22.795372693644033,-0.016174878689658608,0.9599177566083866,1,FALSE,FALSE,Higher in Females,D-(+)-Mannose
Nitrilotriacetic Acid,Amide-Neg-000043,63,0.623604884395689,16.42856250139047,16.61266498091613,0.016077276976047654,0.9599177566083866,1,FALSE,FALSE,Higher in Males,Nitrilotriacetic ...
Citric Acid,Amide-Neg-000046,41,0.1315876064066685,15.575557177094362,16.201809301591194,0.056871158892520535,0.9599177566083866,1,FALSE,FALSE,Higher in Males,Citric Acid
D-(-)-Glutamine,Amide-Neg-000048,77,0.7950121719642382,20.20467680376533,20.188265294370755,-0.0011723238412475032,0.994442895022004,1,FALSE,FALSE,Higher in Females,D-(-)-Glutamine
L-Threonic Acid,Amide-Neg-000054,71,0.7818140034887688,22.687202559729887,22.71277159551238,0.0016250372697466397,0.994442895022004,1,FALSE,FALSE,Higher in Males,L-Threonic Acid
Levoglucosan,Amide-Neg-000058,27,1,24.759392544466976,24.82161286394816,0.0036209428485839386,1,1,FALSE,FALSE,Higher in Males,Levoglucosan
