"Name","n_occurrences","compound_ids","is_duplicate"
"L-Glutathione (reduced)",8,"Amide-Neg-000132; Amide-Neg-000357; Amide-Pos-000087; Amide-Pos-000199; C18-Neg-000013; C18-Neg-000014; C18-Pos-000007; C18-Pos-000008",TRUE
"Taurine",8,"Amide-Neg-000006; Amide-Neg-000102; Amide-Pos-000028; Amide-Pos-000217; C18-Neg-000010; C18-Neg-000021; C18-Pos-000049; C18-Pos-000690",TRUE
"Adenosine diphosphate (ADP)",7,"Amide-Neg-000156; Amide-Neg-000397; Amide-Pos-000106; C18-Neg-000037; C18-Neg-000085; C18-Pos-000214; C18-Pos-000281",TRUE
"L-Aspartic acid",7,"Amide-Neg-000037; Amide-Neg-000392; Amide-Pos-000148; Amide-Pos-000472; C18-Neg-000017; C18-Pos-000060; C18-Pos-000078",TRUE
"L-Glutamic acid",7,"Amide-Neg-000021; Amide-Neg-000380; Amide-Pos-000037; Amide-Pos-000129; C18-Neg-000007; C18-Pos-000017; C18-Pos-000329",TRUE
"N-Acetyl-1-aspartylglutamic acid",7,"Amide-Neg-000040; Amide-Neg-000418; Amide-Pos-000123; C18-Neg-000040; C18-Neg-000093; C18-Pos-000035; C18-Pos-000062",TRUE
"2-Oleoyl-1-stearoyl-sn-glycero-3-phosphoserine",6,"Amide-Neg-000434; Amide-Pos-000286; C8-Neg-000087; C8-Neg-000111; C8-Pos-000073; C8-Pos-000348",TRUE
"Creatine",6,"Amide-Neg-000091; Amide-Pos-000021; Amide-Pos-000288; C18-Neg-000058; C18-Pos-000002; C18-Pos-000006",TRUE
"Creatinine",6,"Amide-Neg-000105; Amide-Neg-000130; Amide-Pos-000016; Amide-Pos-000071; C18-Pos-000052; C18-Pos-000100",TRUE
"D-Glucose 6-phosphate",6,"Amide-Neg-000422; Amide-Neg-000454; Amide-Pos-000438; Amide-Pos-000491; C18-Neg-000047; C18-Neg-000054",TRUE
"Inosine-5'-monophosphate (IMP)",6,"Amide-Neg-000341; Amide-Pos-000248; C18-Neg-000068; C18-Neg-000133; C18-Pos-000220; C18-Pos-000590",TRUE
"1-(5Z,8Z,11Z,14Z-Eicosatetraenoyl)-sn-glycero-3-phosphocholine",5,"Amide-Pos-000498; C18-Pos-000470; C18-Pos-000654; C8-Pos-000183; C8-Pos-000339",TRUE
"1-Monolinolenin",5,"Amide-Pos-000414; C18-Pos-000500; C18-Pos-000592; C8-Pos-000123; C8-Pos-000317",TRUE
"1-Oleoyl-sn-glycero-3-phosphocholine",5,"Amide-Pos-000349; C18-Pos-000261; C18-Pos-000486; C8-Pos-000075; C8-Pos-000084",TRUE
"1-Palmitoyl-sn-glycero-3-phosphocholine",5,"Amide-Pos-000163; C18-Pos-000110; C18-Pos-000361; C8-Pos-000020; C8-Pos-000057",TRUE
"5'-S-Methyl-5'-thioadenosine",5,"Amide-Pos-000054; Amide-Pos-000422; C18-Pos-000147; C18-Pos-000148; C8-Pos-000479",TRUE
"Adenine",5,"Amide-Neg-000038; Amide-Neg-000330; Amide-Pos-000029; Amide-Pos-000195; C18-Neg-000092",TRUE
"Hypoxanthine",5,"Amide-Neg-000005; Amide-Pos-000006; Amide-Pos-000023; C18-Pos-000015; C18-Pos-000041",TRUE
"L-Histidine",5,"Amide-Neg-000416; Amide-Neg-000452; Amide-Pos-000116; Amide-Pos-000155; C18-Neg-000110",TRUE
"Monoolein",5,"Amide-Pos-000402; C18-Pos-000587; C18-Pos-000624; C8-Pos-000022; C8-Pos-000063",TRUE
"N,N'-Diphenylguanidine",5,"Amide-Pos-000027; C18-Pos-000073; C18-Pos-000634; C8-Neg-000160; C8-Pos-000047",TRUE
"N-Acetylneuraminic acid",5,"Amide-Neg-000192; Amide-Pos-000212; Amide-Pos-000456; C18-Neg-000071; C18-Neg-000087",TRUE
"PEG n5",5,"Amide-Pos-000107; C18-Pos-000172; C18-Pos-000193; C8-Pos-000287; C8-Pos-000330",TRUE
"1,4-Dimethylpiperazine",4,"Amide-Pos-000218; Amide-Pos-000332; C18-Pos-000317; C18-Pos-000435",TRUE
"1-Hexadecanoyl-sn-glycero-3-phosphoethanolamine",4,"C18-Pos-000534; C18-Pos-000666; C8-Pos-000156; C8-Pos-000315",TRUE
"1-Myristoyl-sn-glycero-3-phosphocholine",4,"C18-Pos-000362; C18-Pos-000541; C8-Pos-000198; C8-Pos-000321",TRUE
"1-Oleoyl-sn-glycero-3-phosphoethanolamine",4,"C18-Neg-000141; C8-Neg-000108; C8-Pos-000186; C8-Pos-000200",TRUE
"1-Palmitoylglycerol",4,"C18-Pos-000372; C18-Pos-000584; C8-Pos-000001; C8-Pos-000015",TRUE
"2-Oxoglutaric acid",4,"Amide-Neg-000097; Amide-Neg-000415; C18-Neg-000078; C18-Neg-000083",TRUE
"3-Aminopiperidine-2,6-dione",4,"Amide-Pos-000295; Amide-Pos-000364; C18-Pos-000450; C18-Pos-000464",TRUE
"3-Hydroxy-3-methylglutaric acid",4,"Amide-Neg-000129; Amide-Neg-000238; C18-Neg-000023; C18-Neg-000027",TRUE
"7-Methylguanosine",4,"Amide-Pos-000350; Amide-Pos-000407; C18-Pos-000326; C18-Pos-000566",TRUE
"Acetyl-L-carnitine",4,"Amide-Pos-000198; Amide-Pos-000448; C18-Pos-000098; C18-Pos-000171",TRUE
"Adenosine",4,"Amide-Pos-000013; Amide-Pos-000153; C18-Pos-000026; C8-Pos-000370",TRUE
"Adenosine 5'-monophosphate",4,"Amide-Pos-000076; Amide-Pos-000425; C18-Pos-000005; C18-Pos-000079",TRUE
"Arachidonic acid",4,"Amide-Neg-000403; C8-Neg-000004; C8-Pos-000291; C8-Pos-000369",TRUE
"Ascorbic acid",4,"Amide-Neg-000004; Amide-Neg-000026; C18-Neg-000001; C18-Neg-000005",TRUE
"Asparagine",4,"Amide-Neg-000148; Amide-Pos-000145; Amide-Pos-000371; C18-Neg-000095",TRUE
"Caprolactam",4,"Amide-Pos-000113; Amide-Pos-000243; C18-Pos-000033; C18-Pos-000218",TRUE
"Choline",4,"Amide-Pos-000001; Amide-Pos-000005; C18-Pos-000001; C18-Pos-000418",TRUE
"Cytidine 5'-monophosphate (hydrate)",4,"Amide-Pos-000290; Amide-Pos-000392; C18-Pos-000264; C18-Pos-000419",TRUE
"D-(+)-Pipecolinic acid",4,"Amide-Pos-000272; Amide-Pos-000330; C18-Pos-000173; C18-Pos-000268",TRUE
"D-(+)-Proline",4,"Amide-Pos-000053; Amide-Pos-000151; C18-Pos-000070; C18-Pos-000415",TRUE
"D-(-)-Glutamine",4,"Amide-Neg-000022; Amide-Neg-000133; C18-Neg-000020; C18-Neg-000061",TRUE
"DL-Alanine",4,"Amide-Neg-000033; Amide-Neg-000060; Amide-Pos-000114; Amide-Pos-000185",TRUE
"DL-Dipalmitoylphosphatidylcholine",4,"Amide-Pos-000208; Amide-Pos-000246; C8-Pos-000005; C8-Pos-000249",TRUE
"Guanosine 5'-diphosphate (GDP)",4,"Amide-Neg-000353; Amide-Neg-000456; Amide-Pos-000210; Amide-Pos-000500",TRUE
"Inosine",4,"Amide-Neg-000020; Amide-Pos-000079; C18-Pos-000184; C18-Pos-000200",TRUE
"Isoleucine",4,"Amide-Pos-000072; Amide-Pos-000090; C18-Pos-000011; C18-Pos-000029",TRUE
"L(+)-Ornithine",4,"Amide-Pos-000150; Amide-Pos-000154; C18-Pos-000296; C18-Pos-000348",TRUE
"L-Pyroglutamic acid",4,"Amide-Pos-000039; Amide-Pos-000264; C18-Pos-000021; C18-Pos-000032",TRUE
"L-Tyrosine",4,"Amide-Neg-000266; C18-Pos-000055; C18-Pos-000069; C18-Pos-000603",TRUE
"Maleic acid",4,"Amide-Neg-000061; Amide-Neg-000381; C18-Neg-000006; C18-Neg-000052",TRUE
"Methylmalonic acid",4,"Amide-Neg-000075; Amide-Neg-000298; C18-Neg-000032; C18-Neg-000045",TRUE
"Minoxidil",4,"Amide-Pos-000285; C18-Pos-000407; C8-Pos-000434; C8-Pos-000450",TRUE
"N-Acetylalanine",4,"Amide-Neg-000232; Amide-Neg-000261; C18-Neg-000080; C18-Neg-000106",TRUE
"N-Acetylaspartic acid",4,"Amide-Neg-000008; Amide-Neg-000109; C18-Neg-000002; C18-Neg-000004",TRUE
"N-Acetylhistidine",4,"Amide-Neg-000074; Amide-Pos-000132; C18-Pos-000117; C18-Pos-000600",TRUE
"N-Formylmethamphetamine",4,"Amide-Pos-000291; Amide-Pos-000310; C18-Pos-000133; C18-Pos-000143",TRUE
"N6-Me-Adenosine",4,"Amide-Pos-000160; Amide-Pos-000245; C18-Pos-000115; C18-Pos-000320",TRUE
"Nicotinamide",4,"Amide-Pos-000065; Amide-Pos-000136; C18-Pos-000056; C18-Pos-000099",TRUE
"OPHTHALMATE",4,"Amide-Pos-000343; C18-Neg-000099; C18-Pos-000166; C18-Pos-000231",TRUE
"PEG n6",4,"Amide-Pos-000142; Amide-Pos-000205; C18-Pos-000230; C18-Pos-000287",TRUE
"Palmitoylcarnitine",4,"Amide-Pos-000367; C18-Pos-000406; C8-Pos-000114; C8-Pos-000471",TRUE
"Pantothenic acid",4,"Amide-Neg-000152; C18-Neg-000034; C18-Pos-000020; C18-Pos-000161",TRUE
"Pentadecanoic acid",4,"Amide-Neg-000424; C8-Neg-000096; C8-Neg-000138; C8-Pos-000338",TRUE
"Uracil",4,"Amide-Neg-000094; Amide-Pos-000411; C18-Pos-000177; C18-Pos-000238",TRUE
"cis-4-Hydroxy-D-proline",4,"Amide-Pos-000156; Amide-Pos-000376; C18-Pos-000310; C18-Pos-000366",TRUE
"guanine",4,"Amide-Pos-000345; Amide-Pos-000420; C18-Pos-000207; C18-Pos-000267",TRUE
"(R)-Butyrylcarnitine",3,"Amide-Pos-000241; C18-Pos-000136; C18-Pos-000280",TRUE
".beta.-Nicotinamide adenine dinucleotide",3,"Amide-Neg-000437; C18-Pos-000129; C18-Pos-000251",TRUE
"1,2-dihydroxyheptadec-16-yn-4-yl acetate",3,"C18-Pos-000558; C8-Pos-000208; C8-Pos-000223",TRUE
"1,2-dioleoyl-sn-glycero-3-phosphatidylcholine",3,"Amide-Pos-000362; C8-Pos-000018; C8-Pos-000066",TRUE
"1-.beta.-D-Arabinofuranosyluracil 5'-monophosphate",3,"Amide-Neg-000276; C18-Neg-000039; C18-Neg-000055",TRUE
"1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine",3,"C18-Neg-000142; C8-Neg-000102; C8-Neg-000128",TRUE
"1-Stearoyl-2-arachidonoyl-sn-glycero-3-phosphoserine",3,"C8-Neg-000007; C8-Pos-000033; C8-Pos-000148",TRUE
"1-Stearoylglycerol",3,"C18-Pos-000444; C8-Pos-000002; C8-Pos-000052",TRUE
"12-Aminododecanoic acid",3,"C18-Pos-000623; C8-Pos-000485; C8-Pos-000517",TRUE
"2'-Deoxyguanosine 5'-monophosphate (dGMP)",3,"Amide-Neg-000065; C18-Neg-000008; C18-Neg-000011",TRUE
"2-Docosahexaenoyl-1-palmitoyl-sn-glycero-3-phosphoethanolamine",3,"C8-Neg-000020; C8-Pos-000038; C8-Pos-000433",TRUE
"2-Docosahexaenoyl-1-stearoyl-sn-glycero-3-phosphoethanolamine",3,"C8-Neg-000009; C8-Pos-000029; C8-Pos-000257",TRUE
"2-Linoleoyl-1-palmitoyl-sn-glycero-3-phosphoethanolamine",3,"C8-Neg-000076; C8-Pos-000106; C8-Pos-000201",TRUE
"2-Methylglutaric acid",3,"Amide-Neg-000458; C18-Pos-000616; C18-Pos-000660",TRUE
"3-(5,6-Dihydroxyheptyl)-4-methyl-2H-furan-5-one",3,"C18-Pos-000552; C18-Pos-000636; C8-Pos-000554",TRUE
"3-Oxo-1,8-octanedicarboxylic acid",3,"C18-Pos-000522; C18-Pos-000523; C8-Pos-000388",TRUE
"4,6-Dimethyl-2(1H)-pyrimidinone",3,"Amide-Pos-000138; Amide-Pos-000196; C18-Pos-000102",TRUE
"4-Acetamidobutanoic acid",3,"Amide-Neg-000468; C18-Pos-000258; C18-Pos-000277",TRUE
"4-Oxoproline",3,"Amide-Neg-000153; Amide-Neg-000160; C18-Neg-000036",TRUE
"Acetylcholine",3,"Amide-Pos-000049; Amide-Pos-000093; C18-Pos-000328",TRUE
"Adenosine triphosphate (ATP)",3,"Amide-Neg-000306; Amide-Pos-000146; Amide-Pos-000159",TRUE
"Adenylosuccinic acid",3,"Amide-Neg-000367; Amide-Pos-000356; C18-Pos-000453",TRUE
"Azithromycin",3,"Amide-Pos-000441; C18-Pos-000454; C8-Pos-000301",TRUE
"Benzalkonium chloride (C12)",3,"Amide-Pos-000423; C18-Pos-000295; C18-Pos-000564",TRUE
"Butylisopropylamine",3,"Amide-Pos-000366; C18-Pos-000146; C18-Pos-000259",TRUE
"Chloroprocaine",3,"Amide-Pos-000353; C18-Pos-000615; C8-Pos-000211",TRUE
"Cytosine",3,"Amide-Pos-000120; Amide-Pos-000347; C18-Pos-000221",TRUE
"D-(-)-Mannitol",3,"Amide-Neg-000012; Amide-Neg-000036; C18-Neg-000031",TRUE
"D-Sphingosine",3,"C18-Pos-000545; C18-Pos-000554; C8-Pos-000171",TRUE
"DL-Arginine",3,"Amide-Neg-000342; Amide-Pos-000081; Amide-Pos-000119",TRUE
"DL-Glutamine",3,"Amide-Pos-000035; Amide-Pos-000338; C18-Pos-000030",TRUE
"Dihydrothymine",3,"Amide-Pos-000357; C18-Pos-000457; C18-Pos-000458",TRUE
"Docosahexaenoic acid",3,"C8-Neg-000021; C8-Pos-000395; C8-Pos-000503",TRUE
"Ethyl myristate",3,"Amide-Neg-000113; C8-Neg-000013; C8-Pos-000072",TRUE
"Glutaric acid",3,"C18-Neg-000077; C18-Neg-000115; C18-Pos-000689",TRUE
"Glutaric anhydride",3,"Amide-Neg-000447; Amide-Neg-000472; C18-Neg-000076",TRUE
"Guanosine",3,"C18-Neg-000091; C18-Pos-000213; C18-Pos-000285",TRUE
"Guanosine monophosphate (GMP)",3,"Amide-Neg-000247; C18-Neg-000049; C18-Neg-000070",TRUE
"Hexanoylcarnitine",3,"Amide-Pos-000320; C18-Pos-000413; C18-Pos-000640",TRUE
"Hypotaurine",3,"Amide-Neg-000136; Amide-Pos-000130; Amide-Pos-000501",TRUE
"L-2-Aminoadipic acid",3,"Amide-Pos-000270; C18-Pos-000245; C18-Pos-000279",TRUE
"L-Threonic acid",3,"Amide-Neg-000062; Amide-Neg-000079; C18-Neg-000016",TRUE
"L-Threonine",3,"Amide-Pos-000117; Amide-Pos-000164; C18-Pos-000153",TRUE
"Lidocaine",3,"Amide-Pos-000319; C18-Pos-000493; C8-Pos-000136",TRUE
"Linoleoylcarnitine",3,"Amide-Pos-000458; C18-Pos-000551; C8-Pos-000214",TRUE
"Methadone",3,"Amide-Pos-000227; C18-Pos-000377; C8-Pos-000045",TRUE
"Myristic acid",3,"Amide-Neg-000215; C8-Neg-000069; C8-Neg-000158",TRUE
"N,N-Dimethylsphingosine",3,"C18-Pos-000544; C8-Pos-000237; C8-Pos-000314",TRUE
"N-(Octadecanoyl)sphing-4-enine-1-phosphocholine",3,"Amide-Pos-000416; C8-Pos-000028; C8-Pos-000497",TRUE
"N-Acetyl-L-methionine",3,"Amide-Neg-000139; C18-Neg-000112; C18-Neg-000127",TRUE
"N-Stearoyl-D-erythro-sphingosine",3,"Amide-Pos-000384; C8-Pos-000077; C8-Pos-000447",TRUE
"N6-Succinyladenosine; LC-tDDA; CE10",3,"Amide-Pos-000502; C18-Pos-000353; C18-Pos-000412",TRUE
"N8-Acetylspermidine",3,"Amide-Pos-000108; Amide-Pos-000134; C18-Pos-000249",TRUE
"Oleamide",3,"C18-Pos-000629; C18-Pos-000645; C8-Pos-000246",TRUE
"Oleoyl-L-carnitine",3,"Amide-Pos-000405; C18-Pos-000429; C8-Pos-000105",TRUE
"PE(18:0_20:4)",3,"Amide-Pos-000277; C8-Pos-000019; C8-Pos-000232",TRUE
"PEG n7",3,"Amide-Pos-000238; Amide-Pos-000278; C18-Pos-000298",TRUE
"Palmitic acid alkyne",3,"C18-Pos-000578; C8-Pos-000170; C8-Pos-000285",TRUE
"Palmitoyl ethanolamide",3,"C18-Pos-000588; C8-Pos-000207; C8-Pos-000267",TRUE
"Penicillin G",3,"C18-Neg-000102; C18-Pos-000398; C18-Pos-000481",TRUE
"Phloroglucinol",3,"Amide-Pos-000492; C18-Pos-000229; C18-Pos-000250",TRUE
"Prolinamide",3,"Amide-Pos-000287; C18-Pos-000333; C18-Pos-000392",TRUE
"Propionylcarnitine",3,"Amide-Pos-000313; C18-Pos-000167; C18-Pos-000262",TRUE
"S-4-(2-oxo-butyl)glutathione",3,"Amide-Pos-000526; C18-Pos-000471; C18-Pos-000484",TRUE
"S-Lactoylglutathione",3,"Amide-Pos-000516; C18-Pos-000381; C18-Pos-000518",TRUE
"Threonine",3,"Amide-Neg-000031; Amide-Neg-000100; C18-Neg-000057",TRUE
"Triethylene glycol",3,"Amide-Pos-000355; C18-Pos-000284; C18-Pos-000335",TRUE
"Triphenyl phosphate",3,"C18-Pos-000574; C8-Pos-000032; C8-Pos-000236",TRUE
"Tris(2-butoxyethyl) phosphate",3,"Amide-Pos-000512; Amide-Pos-000524; C8-Pos-000210",TRUE
"Uridine 5'-monophosphate",3,"Amide-Pos-000368; C18-Pos-000257; C18-Pos-000502",TRUE
"Xanthine",3,"Amide-Neg-000034; C18-Neg-000081; C18-Pos-000239",TRUE
"cis-Aconitic acid",3,"Amide-Neg-000278; C18-Neg-000038; C18-Neg-000065",TRUE
"trans-3-Indoleacrylic acid",3,"Amide-Pos-000166; C18-Pos-000120; C18-Pos-000370",TRUE
"(2R)-2,3-Dihydroxypropanoic acid",2,"Amide-Neg-000185; Amide-Neg-000305",TRUE
"(2R)-3-Hydroxyisovaleroylcarnitine",2,"C18-Pos-000272; C18-Pos-000300",TRUE
"(2R)-6-Oxo-2-piperidinecarboxylic acid",2,"Amide-Pos-000391; Amide-Pos-000508",TRUE
"(2R,3R,6R)-5-[(1E,3E)-hepta-1,3-dienyl]-2,3-dihydroxy-6-(hydroxymethyl)cyclohexan-1-one",2,"C8-Pos-000427; C8-Pos-000491",TRUE
"(9Z,12E)-15,16-Dihydroxyoctadeca-9,12-dienoic acid",2,"C8-Pos-000288; C8-Pos-000377",TRUE
"(Z)-2-octylpent-2-enedioic acid",2,"C8-Pos-000569; C8-Pos-000570",TRUE
"1,2-Dilinoleoyl-sn-glycero-3-phosphocholine",2,"C8-Pos-000016; C8-Pos-000143",TRUE
"1,2-Dilinoleoyl-sn-glycero-3-phosphoethanolamine",2,"C8-Pos-000053; C8-Pos-000294",TRUE
"1,2-Dioleoyl-sn-glycero-3-phospho-L-serine",2,"C8-Neg-000039; C8-Neg-000084",TRUE
"1,2-Dipalmitoleoyl-sn-glycero-3-phosphocholine",2,"C8-Pos-000012; C8-Pos-000021",TRUE
"1,2-Dipalmitoleoyl-sn-glycero-3-phosphoethanolamine",2,"C8-Pos-000262; C8-Pos-000296",TRUE
"1,2-Dipalmitoyl-sn-glycero-3-phosphoethanolamine",2,"C8-Pos-000194; C8-Pos-000512",TRUE
"1,2-Dipentadecanoyl-sn-glycero-3-phosphocholine",2,"C8-Pos-000008; C8-Pos-000228",TRUE
"1,3-Benzodioxolylbutanamine (BDB)",2,"C18-Pos-000271; C18-Pos-000307",TRUE
"1,3-Dimethylbutylamine",2,"C18-Pos-000122; C18-Pos-000132",TRUE
"1,4-Cyclohexanedicarboxylic acid",2,"Amide-Neg-000338; C18-Neg-000124",TRUE
"1-(5Z,8Z,11Z,14Z-Eicosatetraenoyl)-sn-glycero-3-phosphoethanolamine",2,"C8-Neg-000042; C8-Neg-000141",TRUE
"1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine",2,"C8-Pos-000003; C8-Pos-000269",TRUE
"1-(9Z-Octadecenoyl)-sn-glycero-3-phosphoethanolamine",2,"C18-Pos-000517; C18-Pos-000657",TRUE
"1-Aminocyclohexanecarboxylic acid",2,"Amide-Pos-000386; Amide-Pos-000506",TRUE
"1-Dodecyl-2-pyrrolidinone",2,"C18-Pos-000646; C18-Pos-000649",TRUE
"1-Hexadecanoyl-2-(14-pentadecenoyl)-sn-glycero-3-phosphocholine",2,"C8-Pos-000092; C8-Pos-000233",TRUE
"1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphoserine",2,"C8-Neg-000050; C8-Neg-000051",TRUE
"1-Hexadecyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine",2,"C8-Pos-000037; C8-Pos-000164",TRUE
"1-Methylhistidine",2,"Amide-Pos-000281; Amide-Pos-000294",TRUE
"1-Monolinoleoyl-rac-glycerol",2,"C8-Pos-000130; C8-Pos-000133",TRUE
"1-Octadecanoyl-2-octadecenoyl-sn-glycero-3-phosphocholine",2,"C8-Pos-000157; C8-Pos-000191",TRUE
"1-Oleoyl-2-myristoyl-sn-glycero-3-phosphocholine",2,"Amide-Pos-000223; Amide-Pos-000251",TRUE
"1-Oleoyl-2-palmitoyl-sn-glycero-3-phosphocholine",2,"Amide-Pos-000176; Amide-Pos-000236",TRUE
"1-Palmitoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine",2,"C8-Pos-000031; C8-Pos-000152",TRUE
"1-Palmitoyl-2-linoleoyl-sn-glycero-3-phosphocholine",2,"C8-Pos-000013; C8-Pos-000480",TRUE
"1-Palmitoyl-2-oleoyl-phosphatidylglycerol",2,"C8-Neg-000029; C8-Pos-000217",TRUE
"1-Palmitoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine",2,"C8-Pos-000044; C8-Pos-000137",TRUE
"1-Pentadecanoyl-sn-glycero-3-phosphocholine",2,"C8-Pos-000505; C8-Pos-000506",TRUE
"1-Stearoyl-2-hydroxy-sn-glycero-3-phosphocholine",2,"C18-Pos-000341; C8-Pos-000058",TRUE
"1-Stearoyl-2-linoleoyl-sn-glycero-3-phospho-L-serine",2,"C8-Pos-000168; C8-Pos-000345",TRUE
"1-Stearoyl-2-linoleoyl-sn-glycero-3-phosphoethanolamine",2,"C8-Neg-000025; C8-Pos-000064",TRUE
"1-Stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine",2,"C8-Pos-000040; C8-Pos-000121",TRUE
"11-Hydroxy-δ(9)-THC",2,"C8-Pos-000526; C8-Pos-000573",TRUE
"12(13)-Epoxy-9Z-octadecenoic acid",2,"C8-Pos-000290; C8-Pos-000391",TRUE
"16-Hydroxyhexadecanoic acid",2,"C8-Neg-000159; C8-Neg-000164",TRUE
"2,4(3H,5H)-Furandione",2,"Amide-Neg-000030; Amide-Neg-000163",TRUE
"2-(1-Methyl-1H-pyrrol-2-yl)-3-(3,4,5-trimethoxyphenyl)acrylonitrile",2,"C8-Pos-000576; C8-Pos-000583",TRUE
"2-(5-Oxovaleryl)phosphatidylcholine",2,"C18-Pos-000560; C8-Pos-000366",TRUE
"2-AMINOISOBUTYRATE",2,"C18-Pos-000226; C18-Pos-000363",TRUE
"2-Amino-4-methylpyrimidine",2,"Amide-Pos-000220; Amide-Pos-000442",TRUE
"2-Amino-6-ethyl-4(3H)-pyrimidinone",2,"C18-Pos-000090; C18-Pos-000330",TRUE
"2-Amino-N,N-diethylacetamide",2,"C18-Pos-000025; C18-Pos-000063",TRUE
"2-Arachidonoyl glycerol",2,"C8-Pos-000111; C8-Pos-000178",TRUE
"2-Arachidonoyl-1-palmitoyl-sn-glycero-3-phosphoethanolamine",2,"C8-Neg-000035; C8-Neg-000143",TRUE
"2-Docosahexaenoyl-1-stearoyl-sn-glycero-3-phosphoserine",2,"C8-Neg-000006; C8-Pos-000023",TRUE
"2-Ethyl-N-({(2R,4S,5R)-5-[6-(2-furyl)-2-methyl-4-pyrimidinyl]-1-azabicyclo[2.2.2]oct-2-yl}methyl)butanamide",2,"C18-Pos-000644; C8-Pos-000469",TRUE
"2-Furoic acid",2,"Amide-Neg-000096; Amide-Neg-000200",TRUE
"2-Hydroxycinnamic acid",2,"C18-Pos-000068; C18-Pos-000118",TRUE
"2-METHYLCITRATE",2,"Amide-Neg-000423; Amide-Neg-000444",TRUE
"2-Methoxypyrazine",2,"Amide-Pos-000149; Amide-Pos-000253",TRUE
"2-Methylbutyryl-L-carnitine",2,"C18-Pos-000192; C18-Pos-000235",TRUE
"2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine",2,"C8-Pos-000004; C8-Pos-000102",TRUE
"2-[2-(Dimethylamino)ethoxy]ethanol",2,"Amide-Pos-000186; Amide-Pos-000269",TRUE
"3-Cyclohexyl-1,1-dimethylurea",2,"Amide-Pos-000337; C18-Pos-000402",TRUE
"3-Ethyl-2-piperazinone",2,"C18-Pos-000263; C18-Pos-000288",TRUE
"3-Hydroxybutyric acid",2,"Amide-Neg-000085; Amide-Neg-000177",TRUE
"3-Hydroxycapric acid",2,"C18-Pos-000501; C18-Pos-000538",TRUE
"3-Hydroxyoleylcarnitine",2,"C18-Pos-000635; C8-Pos-000342",TRUE
